taxon	guid	mbNumber	taxonomicLevel	trophicMode	guild	confidenceRanking	growthForm	trait	notes	citationSource
Moesziomyces penicillariae	CB033C99-A47C-4C0F-8FDF-F3DB289F3E9C	317787	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Molleriella	D35F72A5-9D5A-483A-A7AB-33DC9FA7DD2E	522278	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Molliardiomyces	1B61F8FA-5B11-47DD-A2B7-8AD9D5AE31CA	11128	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Mollicamarops	965C3CA7-765C-418D-B6F8-4A70930F17A9	510602	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Mollicarpus	10B16A3D-B66C-4914-83E6-E536D40DDD65	25603	13	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Mollisia	1CB193E8-36B9-11D5-9548-00D0592D548C	3239	13	Pathotroph-Symbiotroph	Endophyte-Plant Pathogen	Probable	Microfungus	NULL	Dark Septate Endophyte, known from plant roots.	James TY, et al. 2006. Nature 443:818-822 ((https://doi.org/10.1038/nature05110)); Tedersoo L, et al. 2014. Science 346:1256688 ((https://doi.org/10.1126/science.1256688)) (as Plant Pathogen); Taylor DL, et al. 2014. Ecological Monographs 84:3-20 ((https://esajournals.onlinelibrary.wiley.com/doi/10.1890/12-1693.1)) (as DSE)
Mollisia cinerea	1CB193EF-36B9-11D5-9548-00D0592D548C	151567	20	Pathotroph	Plant Pathogen	Probable	Microfungus	NULL	NULL	James TY, et al. 2006. Nature 443:818-822 ((https://doi.org/10.1038/nature05110))
Mollisia collematis	D907B09F-8B2A-41C4-A7FC-7EAEDB8FDFFA	202444	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Collema	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Mollisia minutella	8C3C403B-B0CD-4DB0-A55D-3455F7B8947E	414852	20	Symbiotroph	Endophyte	Probable	Microfungus	NULL	Dark Septate Endophyte, known from plant roots.	Tedersoo L, et al. 2014. Science 346:1256688 ((https://doi.org/10.1126/science.1256688)) (as Plant Pathogen); Taylor DL, et al. 2014. Ecological Monographs 84:3-20 ((https://esajournals.onlinelibrary.wiley.com/doi/10.1890/12-1693.1)) (as DSE)
Mollisina	028AA79D-56D2-4117-A808-7204F5370C34	3243	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Mollisinopsis	C23DB0F3-4357-4572-BE93-8D78BC36245E	25821	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monacrosporiella	11E8DF19-EB4E-4E0D-BB2A-CEE150FD0D5E	8959	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monacrosporium	1CB1C8FF-36B9-11D5-9548-00D0592D548C	8960	13	Saprotroph	Nematophagous	Probable	Microfungus	Nematode-trapping fungus (Yang et al. 2020)	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Yang C-T, et al. 2020. Proceedings of the National Academy of Sciences 117:6762-6770 ((https://doi.org/10.1073/pnas.1919726117))
Monacrosporium cionopagum	1CB1B1D4-36B9-11D5-9548-00D0592D548C	334396	20	Saprotroph	Nematophagous	Highly Probable	Microfungus	Nematode-trapping fungus (Yang et al. 2020)	NULL	Yang C-T, et al. 2020. Proceedings of the National Academy of Sciences 117:6762-6770 ((https://doi.org/10.1073/pnas.1919726117))
Monacrosporium haptotylum	1CB1B1D8-36B9-11D5-9548-00D0592D548C	362512	20	Saprotroph	Nematophagous	Highly Probable	Microfungus	Nematode-trapping fungus (Yang et al. 2020)	NULL	Yang C-T, et al. 2020. Proceedings of the National Academy of Sciences 117:6762-6770 ((https://doi.org/10.1073/pnas.1919726117))
Monandromyces	3BE58400-0BAC-4494-AC20-90DEC4187618	28387	13	Pathotroph	Animal Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monascella	C47D9E76-2C9A-4458-9F60-A92FD597A950	25057	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monascostroma	1CB1C900-36B9-11D5-9548-00D0592D548C	3246	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monascus	1CB1C901-36B9-11D5-9548-00D0592D548C	3247	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monascus ruber	5AE6BDEE-DA4F-471A-A90A-9E09D73FADE1	234876	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monilia pullulans	0E47414E-D4E8-4442-961D-00705B30BC17	275659	20	Saprotroph	Undefined Saprotroph	Probable	Yeast	NULL	Isolated from an experimental brewery (Fell & Scorzetti 2004; Syn. Basidiotrichosporon pullulans, Guehomyces pullulans, Oidium pullulans, Oospora pullulans, Tausonia pullulans, Trichosporon pullulans)	Fell JW, Scorzetti G. 2004. International Journal of Systematic and Evolutionary Microbiology 54:995-998 ((https://doi.org/10.1099/ijs.0.03017-0))
Moniliella suaveolens	CB2C41FF-509D-4A40-A518-4B5B9261F998	317819	20	Pathotroph	Animal Pathogen	Probable	NULL	NULL	Likely opportunistic human pathogen (Irinyi et al. 2015)	Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008))
Moniliger	9173833F-412D-45DF-95A5-A4B9663229C2	8967	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monilinia	1CB1C903-36B9-11D5-9548-00D0592D548C	3249	13	Pathotroph	Plant Pathogen	Probable	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monilinia fructicola	1CB19401-36B9-11D5-9548-00D0592D548C	236989	20	Pathotroph	Plant Pathogen	Probable	Microfungus	NULL	NULL	James TY, et al. 2006. Nature 443:818-822 ((https://doi.org/10.1038/nature05110)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monilinia fructigena	9C83A9BB-4540-4A09-8F3F-8C0C40968184	120492	20	Pathotroph	Plant Pathogen	Probable	Microfungus	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monilinia laxa	1CB19402-36B9-11D5-9548-00D0592D548C	119179	20	Pathotroph	Plant Pathogen	Probable	Microfungus	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monilinia mali	5E817E24-49F9-421D-B0F4-D7563FF0DA47	282453	20	Pathotroph	Plant Pathogen	Probable	Microfungus	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monilinia oxycocci	0C6ECCD9-6D37-4771-8BAC-43D9F42A1778	273199	20	Pathotroph	Plant Pathogen	Probable	Microfungus	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Moniliophthora	A1DB67D9-0DA8-42F9-BFE3-E0FDF74A5A2E	18070	13	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Possible	NULL	NULL	Speices in this genus cause of witches broom or frosty pod rot of cacao (Basso et al. 2016)	Basso TS, et al. 2016. Mycologia 108:869-881 ((https://doi.org/10.3852/14-234)) (as Plant Pathogen); Tedersoo L, et al. 2014. Science 346:1256688 ((https://doi.org/10.1126/science.1256688)) (as saprotroph)
Moniliophthora perniciosa	90EAF8F9-DBB9-4E48-9178-C8B95E01B4BB	500896	20	Pathotroph	Plant Pathogen	Probable	Agaricoid	NULL	Syn. Marasmius perniciosus; Cause of witches broom or frosty pod rot of cacao	Aime MC, Phillips-Mora W. 2005. Mycologia 97:1012-1022 ((https://doi.org/10.3852/mycologia.97.5.1012)); Basso TS, et al. 2016. Mycologia 108:869-881 ((https://doi.org/10.3852/14-234))
Moniliophthora roreri	B2046B3D-0594-4E37-BFD4-53765B6926FF	317823	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monilochaetes	1CB1C904-36B9-11D5-9548-00D0592D548C	8969	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monilochaetes infuscans	1CB19403-36B9-11D5-9548-00D0592D548C	141115	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monoblastia	079FEC0C-799E-4025-A265-178AE2310C3C	3251	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Monoblastiopsis	A70FC2DF-48FA-4B10-BDA0-8792C5555AFE	511606	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Monoblepharis	DD7FF34A-40AF-429E-857C-EA55FAB1FC06	20340	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monochaetia	1CB19404-36B9-11D5-9548-00D0592D548C	8971	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monochaetia coryli	F0A1BD4A-C979-427B-B315-9A1F5428106D	177983	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monochaetia mali	F93E8561-CBB9-4F1F-A46A-12DA705E69BF	229297	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monocillium	1CB1940B-36B9-11D5-9548-00D0592D548C	8976	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monodictys anaptychiae	95F9717C-F69A-4B89-9182-AB7847A9E38E	317846	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Anaptychia	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Monodictys cellulosa	5E6606FE-22A7-4994-95D9-55A9B7B4162B	301285	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on various crustose, corticolous lichens [?= M. lepraria (Berk.) M. B. Ellis]	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Monodictys epilepraria	EABF1C88-A535-482F-B0F8-FB1A470657B6	303570	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Lepraria	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Monodictys fuliginosa	35D2EF76-B2B7-4BCB-9260-79A6D23CA2EC	415599	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Lobaria	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Monodictys levis	37B0AE1D-119B-484B-A581-2F92DBFD08A1	301287	20	Symbiotroph	Endophyte	Highly Probable	Microfungus	NULL	Host - Caryophyllaceae	Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))
Monodictys putredinis	1CB1CED9-36B9-11D5-9548-00D0592D548C	301290	20	Saprotroph	Wood Saprotroph	Highly Probable	Microfungus	Soft Rot	NULL	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany
Monographella	1CB1C907-36B9-11D5-9548-00D0592D548C	3252	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monographella cucumerina	DC7A4450-5AE0-4314-838E-7568F2CA72F8	106270	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monographella nivalis	1CB1940F-36B9-11D5-9548-00D0592D548C	317859	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monoicomyces	1CB1C909-36B9-11D5-9548-00D0592D548C	3254	13	Pathotroph	Animal Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monorhizina	68443D4B-8DBF-456B-97A4-CBA3A463E03A	25487	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monosporascus	A295A9FD-4FD7-47C1-ACC6-72EF64E8CF26	3260	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monosporascus cannonballus	B9ECA7D7-AE11-43E5-9D7E-36AA0CE5E83F	317867	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monosporascus eutypoides	0DBA4E35-81A7-4749-A9F5-C3FC4973A2FA	317868	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monosporidium	1CB1C90B-36B9-11D5-9548-00D0592D548C	16222	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Monosporium	1CB1C90C-36B9-11D5-9548-00D0592D548C	22244	13	Saprotroph	Wood Saprotroph	Highly Probable	NULL	Soft Rot	NULL	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany
Monosporium olivaceum	A7B6095F-9030-426F-B360-C8A9F104E9B6	140757	20	Saprotroph	Wood Saprotroph	Probable	NULL	Soft Rot	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045))
Monostichella	1CB1C90D-36B9-11D5-9548-00D0592D548C	8988	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Monostichella coryli	1CB19415-36B9-11D5-9548-00D0592D548C	438705	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Montagnea	1F135C05-D8F8-4567-B218-7F8A1146926F	19219	13	Saprotroph	Soil Saprotroph	Probable	Secotioid	NULL	NULL	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Montagnellina	D866CA31-5A56-11D5-BEBB-00508BCA8DE8	3263	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Montagnula	1CB1C912-36B9-11D5-9548-00D0592D548C	3265	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Montanelia	CDEFF825-588B-479E-A4CA-F6047AD8AE28	801556	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Morakotiella	43642E2C-6887-46F7-9B72-2CA382217284	28969	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Moravecia	8CD0D0BB-7643-4ADE-AA45-35946AD55C35	25113	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Morchella	1CB1941D-36B9-11D5-9548-00D0592D548C	3268	13	Saprotroph-Symbiotroph	Ectomycorrhizal-Undefined Saprotroph-Wood Saprotroph	Probable	NULL	NULL	Saprobic on soil, rotten wood and leaf mould primarily in broadleaved forests, also forming ectomycorrhizal associations (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
Morchella esculenta	1CB19422-36B9-11D5-9548-00D0592D548C	247978	20	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	James TY, et al. 2006. Nature 443:818-822 ((https://doi.org/10.1038/nature05110))
Morchellaceae	58CE7359-584D-4AAC-93BB-DC0963D8E302	816368	9	Saprotroph-Symbiotroph	Ectomycorrhizal-Undefined Saprotroph-Wood Saprotroph	Probable	NULL	NULL	Saprobic on soil, rotten wood and leaf mould primarily in broadleaved forests, also forming ectomycorrhizal associations (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
Moreaua	1CB1C913-36B9-11D5-9548-00D0592D548C	25884	13	Pathotroph	Plant Pathogen	Probable	Facultative Yeast	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Morella	B1DCBAD3-8789-403C-AB71-E086D5DCB41B	20344	13	Pathotroph	Animal Parasite	Probable	NULL	NULL	NULL	Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Morenoina	1CB1C914-36B9-11D5-9548-00D0592D548C	3270	13	Symbiotroph	Endophyte	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Morganella	1CB1C915-36B9-11D5-9548-00D0592D548C	19222	13	Saprotroph	Wood Saprotroph	Probable	Gasteroid	NULL	Common name - puffball	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Morispora	86CA1A1B-98FB-42A4-8997-8D82AC8B0A9A	29186	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Moristroma	746FB526-5DB9-4B9B-A5B5-1812EF5C45AD	25123	13	Symbiotroph	Endophyte	Possible	NULL	NULL	Endophyte detection method-culture (Del Olmo-Ruiz & Arnold 2014)	Del Olmo-Ruiz M, Arnold AE. 2014. Mycologia 106:8-21 ((https://doi.org/10.3852/13-098))
Morrisiella	E1A7ED73-2742-41BF-A50E-D0D7461E106F	11132	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Mortierella	1CB19427-36B9-11D5-9548-00D0592D548C	20345	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	Microfungus	NULL	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))
Mortierella globulifera	1CB1D2B1-36B9-11D5-9548-00D0592D548C	145731	20	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph	Highly Probable	Microfungus	NULL	Endophyte detection method-culture (David et al. 2016); Found in Fagus leaf litter in central Germany (Purahong et al. 2016)	David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))
Mortierella verticillata	C1CA38F8-5EE4-4A56-884C-C325A0FE42F8	301340	20	Saprotroph	Undefined Saprotroph	Probable	Microfungus	NULL	NULL	James TY, et al. 2006. Nature 443:818-822 ((https://doi.org/10.1038/nature05110))
Mortierellaceae	3BD31551-4295-4664-858B-8E44073A293E	816415	9	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Possible	Microfungus	NULL	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))
Mortierellales	072310D3-8169-4E27-8838-2C297F018D91	90555	7	Saprotroph-Symbiotroph	Endophyte-Soil Saprotroph-Undefined Saprotroph	Possible	Microfungus	NULL	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6))
Moserella	2EA7495E-5113-4972-AFC5-4E507649DEE9	27302	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Mosigia	A36392CD-952C-4340-9A92-D8D5B1039CDE	3278	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	Syn. Rimularia	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Moutoniella	B8DA2C8E-A182-4127-B0FE-0DBCEC3330E3	3280	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Mrakia	71496953-3BE8-47A6-8E5C-45379BFF8463	25264	13	Saprotroph	Soil Saprotroph-Undefined Saprotroph	Probable	Yeast	NULL	Isolated from water scums (Jones & Sloof 1966); isolated from Antarctic soil (Xin & Zhou 2007)	Jones EBG, Slooff WC. 1966. Antonie van Leeuwenhoek 32:223-228 ((https://doi.org/10.1007/BF02097464)); Xin M-X, Zhou P-J. 2007. Journal of Zhejiang University SCIENCE B. 8:260-265 ((https://doi.org/10.1631/jzus.2007.B0260))
Mucidula	23418543-E40A-11D5-BEBB-00508BCA8DE8	18074	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Muciturbo	37C00D00-2DAD-472C-8D51-6756418D94A0	25265	13	Symbiotroph	Ectomycorrhizal	Probable	NULL	NULL	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf))
Mucoharknessia	80CB674F-384A-4099-BAD0-69D53D75152E	811254	13	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Probable	NULL	NULL	NULL	Crous PW, et al. 2015. Phytotaxa 202:73-93 ((https://doi.org/10.11646/phytotaxa.202.2.1))
Mucor amphibiorum	4A8E9EB6-EBC2-479F-9053-62349057ACCF	317920	20	Pathotroph	Animal Pathogen	Probable	NULL	NULL	Likely opportunistic human pathogen (Irinyi et al. 2015)	Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008))
Mucor circinelloides	1CB1D2BC-36B9-11D5-9548-00D0592D548C	198947	20	Pathotroph	Animal Pathogen-Plant Pathogen	Probable	Facultative Yeast	NULL	Opportunistic human pathogen	Nagy LG, et al. 2014. Nature Communications 5:e4471 ((https://doi.org/10.1038/ncomms5471)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))
Mucor circinelloides f. circinelloides	1CB01EF7-DC45-499C-82B7-5F61EB421878	427112	24	Pathotroph	Animal Pathogen	Probable	NULL	NULL	Likely opportunistic human pathogen (Irinyi et al. 2015)	Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008))
Mucor circinelloides f. griseocyanus	8E8083EC-38BB-40D9-A8FC-A2D86D7259C2	348490	24	Pathotroph	Animal Pathogen	Probable	NULL	NULL	Likely opportunistic human pathogen (Irinyi et al. 2015)	Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008))
Mucor circinelloides f. janssenii	C95FD597-86A2-42B9-9363-D73BBC867909	348491	24	Pathotroph	Animal Pathogen	Probable	NULL	NULL	Likely opportunistic human pathogen (Irinyi et al. 2015)	Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008))
